lemma,poscode,surface
acrylonitrile plant,3,acrylonitrile plant
plant in Kawasaki,3,"plant in Kawasaki, plant at Kawasaki,Kawasaki plant"
plant in Niigata,3,"plant in Niigata,plant at Niigata,Mitsubishi Gas Chemical Co. plant, MGC plant"
BASF plant at Berlin,3,"BASF plant at Berlin,BASF plant"
Plant,3,"Plant,Plants,plant,plants"
