lemma,poscode,surface
Scheduled Maintenance,3,"Scheduled Maintenance,scheduled maintenance,Maintenance,maintenance,routine maintenance,regular maintenance"
Scheduled Plant Maintenance ,3,Scheduled Plant Maintenance 
Shutdown,3,"Shutdown, shut down"
Scheduled Shutdown,3,"Scheduled Shutdown,scheduled shutdown,scheduled shut down"
