lemma,poscode,surface
Mitsubishi,3,"Mitsubishi Chemical,Mitsubishi Chemical"
INEOS Nitriles,3,INEOS Nitriles
Asahi Kasei Corp,3,"Asahi Kasei Corp,Asahi Kasei "
Mitsubishi Gas Chemical Co.,3,"Mitsubishi Gas Chemical Co.,Mitsubishi Gas Chemical Co (MGC)"
BASF,3,BASF
Spot,3,"Spot,spot"
Producer,3,"Producer,producer"
